Symbol,Price
360ONE,1126.8
3MINDIA,35115.0
ABB,5780.5
ACC,1637.1
ACMESOLAR,224.64
AGI,610.1
AIAENG,3861.8
APLAPOLLO,2245.9
ASKAUTOLTD,432.1
AUBANK,994.9
AWL,201.57
AADHARHFC,466.65
AARTIDRUGS,371.7
AARTIIND,446.4
AARTIPHARM,709.2
AAVAS,1286.6
ABBOTINDIA,26460.0
ACE,897.15
ACUTAAS,2017.6
ADANIENSOL,988.0
ADANIENT,2136.6
ADANIGREEN,950.5
ADANIPORTS,1519.0
ADANIPOWER,139.9
ATGL,519.9
ABCAPITAL,336.2
ABFRL,73.8
ABLBL,112.67
ABREL,1386.8
ABSLAMC,869.25
ADVENZYMES,300.95
AEGISLOG,700.15
AEGISVOPAK,214.25
AETHER,966.9
AFCONS,332.25
AFFLE,1560.5
AHLUCONT,899.9
AJANTPHARM,2920.1
AJAXENGG,476.9
AKUMS,451.35
AKZOINDIA,2950.9
APLLTD,769.9
ALIVUS,919.8
ALKEM,5402.5
ALKYLAMINE,1522.9
ALLCARGO,9.29
ABDL,529.15
ALOKINDS,15.1
ARE&M,841.55
AMBER,7734.5
AMBUJACEM,519.45
ANANDRATHI,2989.1
ANANTRAJ,533.05
ANGELONE,2698.3
ANURAS,1336.4
APARINDS,9511.0
PARKHOTELS,126.83
APOLLOHOSP,7542.5
APOLLOTYRE,489.65
APTUS,249.6
ACI,569.0
ARVINDFASN,482.95
ARVIND,385.1
ASAHIINDIA,958.1
ASHOKLEY,204.63
ASHOKA,151.61
ASIANPAINT,2366.4
ASTERDM,599.9
ASTRAMICRO,903.95
ASTRAZEN,8919.0
ASTRAL,1596.5
ATHERENERG,708.25
ATUL,6634.5
AURIONPRO,932.35
AUROPHARMA,1145.6
AIIL,486.35
AVALON,1054.05
AVANTIFEED,1424.35
DMART,3909.2
CCAVENUE,18.9
AWFIS,323.95
AXISBANK,1332.3
AZAD,1579.1
BASF,3653.6
BEML,1735.9
BLS,269.3
BSE,3025.3
BAJAJ-AUTO,9760.0
BAJAJELEC,376.85
BAJFINANCE,1024.75
BAJAJFINSV,2023.2
BAJAJHLDNG,10881.0
BAJAJHFL,89.29
BALAMINES,1079.1
BALKRISIND,2611.8
BALRAMCHIN,465.9
BALUFORGE,501.35
BANCOINDIA,661.9
BANDHANBNK,165.44
BANKBARODA,287.45
BANKINDIA,161.79
MAHABANK,65.44
BATAINDIA,852.25
BAYERCROP,4791.2
BELRISE,186.71
BERGEPAINT,462.0
BBL,2501.1
BDL,1243.6
BEL,435.55
BHARATFORG,1738.8
BHEL,255.75
BPCL,374.1
BHARTIARTL,2004.7
BHARTIHEXA,1668.7
BIKAJI,639.75
BIOCON,377.95
BIRLACORPN,1052.6
BSOFT,398.95
